Transaction Date,Post Date,Description,Category,Type,Amount
10/03/2024,10/04/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-128.89
10/03/2024,10/04/2024,Dlocal *UBER RIDES,Bills & Utilities,Sale,-32.99
10/03/2024,10/03/2024,Payment Thank You-Mobile,,Payment,3402.22
09/30/2024,10/02/2024,MEYKOS PLAZA MADERO CAES,Health & Wellness,Sale,-32.01
10/01/2024,10/02/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-14.31
10/01/2024,10/02/2024,TNTWARE,Shopping,Sale,-30.00
09/30/2024,10/02/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-172.52
09/30/2024,10/02/2024,DOMINOS 14052 PLAZA MADER,Food & Drink,Sale,-4.66
10/01/2024,10/02/2024,SPORTA GUATEMALA,Entertainment,Sale,-68.01
10/01/2024,10/02/2024,SPORTA GUATEMALA,Entertainment,Sale,-68.01
10/01/2024,10/01/2024,LATE FEE,Fees & Adjustments,Fee,-29.00
09/30/2024,10/01/2024,RESTAURANTE SAN BERNARDIN,Food & Drink,Sale,-3.24
09/30/2024,10/01/2024,CAFE BARISTA CB195 LA ISL,Food & Drink,Sale,-8.03
09/30/2024,10/01/2024,ANTILLON CARRETERA AL SAL,Home,Sale,-312.28
09/30/2024,10/01/2024,PROTON AG,Professional Services,Sale,-8.99
09/29/2024,10/01/2024,GASOLINERA EL PASO 3,Gas,Sale,-38.84
09/30/2024,10/01/2024,Dlocal *UBER RIDES,Bills & Utilities,Sale,-10.21
09/27/2024,09/29/2024,ESTACION DE SERVICIO KM19,Gas,Sale,-13.59
09/27/2024,09/29/2024,REBECANA 05 PRADERA CONCE,Professional Services,Sale,-50.48
09/26/2024,09/29/2024,MI CLARO,Bills & Utilities,Sale,-4.27
09/24/2024,09/25/2024,TARGET.COM  *,Shopping,Sale,-84.88
09/22/2024,09/24/2024,PRICESMART FRAIJANES,Shopping,Sale,-18.78
09/22/2024,09/24/2024,TAILWIND CHO,Food & Drink,Sale,-18.76
09/23/2024,09/24/2024,XOOM.COM,Bills & Utilities,Sale,-246.32
09/22/2024,09/23/2024,MINUTE SUITES - ATL E,Travel,Sale,-7.54
09/22/2024,09/23/2024,ATL CNBC,Shopping,Sale,-3.34
09/22/2024,09/23/2024,WALLSTREETST2694,Shopping,Sale,-4.05
09/23/2024,09/23/2024,LYFT   *RIDE SUN 3AM,Travel,Sale,-35.93
09/20/2024,09/22/2024,ATL WENDY'S,Food & Drink,Sale,-10.42
09/20/2024,09/22/2024,ATLMARKET ST2687,Shopping,Sale,-39.87
09/20/2024,09/22/2024,SUBWAY AURORA II,Food & Drink,Sale,-8.94
09/20/2024,09/22/2024,ZULU,Food & Drink,Sale,-9.59
09/20/2024,09/22/2024,ATLANTA BUSINESS CHRONIC,Groceries,Sale,-4.31
09/20/2024,09/22/2024,PRICESMART FRAIJANES,Shopping,Sale,-167.43
09/20/2024,09/22/2024,AMAZON MKTPL*FA4G11M93,Shopping,Sale,-40.14
09/18/2024,09/19/2024,ABERCROMBIE &amp; FITCH,Shopping,Sale,-70.13
09/18/2024,09/19/2024,WEB*BLUEHOST.COM,Bills & Utilities,Return,22.41
09/18/2024,09/19/2024,CEMACO CARRETERA A EL SAL,Home,Sale,-118.89
09/18/2024,09/19/2024,DNH*GODADDY#3274417007,Bills & Utilities,Return,11.99
09/18/2024,09/19/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-11.20
09/18/2024,09/19/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-9.25
09/17/2024,09/18/2024,AMAZON MKTPL*2Z2BE4J43,Shopping,Sale,-73.53
09/17/2024,09/18/2024,DNH*GODADDY#3274417007,Bills & Utilities,Sale,-11.99
09/17/2024,09/18/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-92.26
09/15/2024,09/17/2024,MAX BARBERENA,Shopping,Sale,-38.71
09/16/2024,09/17/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-12.62
09/16/2024,09/17/2024,AMZN Mktp US*2H4AJ8II3,Shopping,Sale,-28.90
09/16/2024,09/17/2024,WEB*BLUEHOST.COM,Bills & Utilities,Sale,-35.40
09/16/2024,09/17/2024,AMZN Mktp US*856R42QQ3,Shopping,Sale,-39.98
09/13/2024,09/15/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-10.51
09/12/2024,09/15/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.94
09/12/2024,09/13/2024,OLD NAVY PRADERA CAES N1,Shopping,Sale,-54.72
09/12/2024,09/13/2024,CAFE BARISTA CB149 CA EL,Food & Drink,Sale,-5.83
09/12/2024,09/13/2024,ZARA PRADERA CAES,Shopping,Sale,-12.82
09/11/2024,09/12/2024,LE CAFE,Food & Drink,Sale,-5.70
09/10/2024,09/12/2024,ESTACION GEZCO BARBERENA,Gas,Sale,-62.37
09/10/2024,09/11/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-11.85
09/08/2024,09/10/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-5.56
09/09/2024,09/10/2024,PRICESMART FRAIJANES,Shopping,Sale,-214.70
09/09/2024,09/10/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-14.81
09/07/2024,09/09/2024,CEMACO KILOMETRO 21 W,Home,Sale,-10.71
09/07/2024,09/09/2024,CEMACO KILOMETRO 21 W,Home,Sale,-152.11
09/07/2024,09/08/2024,NOVEX CARRETERA A EL SALV,Home,Sale,-25.23
08/17/2024,09/08/2024,ZARA PRADERA CAES,Shopping,Return,51.52
09/06/2024,09/08/2024,MOVES APP SUBSCRIPTION,Personal,Sale,-20.00
09/06/2024,09/08/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.75
09/06/2024,09/08/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-28.99
09/05/2024,09/06/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-85.63
